,id,neighbourhood_group,host_name,host_id,minimum_price,z_value_prices,z_interpretation
88,20300,Manhattan,Pas,76627,50,-0.1045735655837643,Lower price average
89,20611,Brooklyn,Lulú,72014,255,-0.08720722407990833,Average price
90,20724,Brooklyn,Augustin,961342,260,-0.08678365477493624,Average price
91,20734,Brooklyn,Sean & Lynette,78460,524,-0.06441919547240953,Average price
92,20755,Brooklyn,Erica,51038,686,-0.050695549991313586,Average price
93,20853,Brooklyn,Tracy,79070,1750,0.03943999810674861,Average price
94,20913,Brooklyn,Christiana,79402,500,-0.06645232813627559,Average price
95,21293,Brooklyn,Tyrome,44145,315,-0.08212439242024316,Average price
96,21456,Manhattan,Dana,42032,420,-0.07322943701582914,Average price
97,21644,Manhattan,Elliott,82685,89,-0.10126972500498195,Lower price average
98,21794,Manhattan,Olan,83257,2940,0.14024949269010764,Higher price average
99,22911,Brooklyn,Shelly,87773,875,-0.03468463026336833,Average price
100,22918,Manhattan,Ssameer Or Trip,32294,180,-0.09356076365448979,Average price
101,23135,Brooklyn,Annette,11481,350,-0.0791594072854385,Average price
102,23501,Manhattan,Meka,63318,130,-0.09779645670421075,Average price
103,23686,Manhattan,Ann,93790,2000,0.060618463355353445,Average price
104,24143,Brooklyn,Seth,97219,303,-0.0831409587521762,Average price
105,24285,Brooklyn,Brenda,97797,6600,0.45030222392968244,Higher price average
106,25235,Brooklyn,Shelly,87773,11250,0.8442216775537326,Higher price average
107,25406,Brooklyn,Erik,105538,2400,0.09450400775312119,Average price
108,25696,Manhattan,Dena,107628,200,-0.0918664864346014,Average price
109,26012,Brooklyn,Jessica,109589,6000,0.39947390733303084,Higher price average
110,26362,Manhattan,Luiz,59734,118,-0.09881302303614378,Average price
111,26520,Brooklyn,Erica,51038,250,-0.08763079338488043,Average price
112,26559,Manhattan,Sally,112793,980,-0.0257896748589543,Average price
113,26785,Brooklyn,Dani,42273,3600,0.19616064094642438,Higher price average
114,26933,Manhattan,Bruce,72062,700,-0.04950955593739172,Average price
115,26954,Manhattan,Nimo,115157,995,-0.024518966944038007,Average price
116,26969,Brooklyn,Alexandra,115307,975,-0.026213244163926397,Average price
117,27006,Manhattan,Stacy,115560,1410,0.010637285368646023,Average price
118,27385,Manhattan,Bruce,72062,225,-0.08974863990974091,Average price
119,27531,Brooklyn,Evelyn,118971,198,-0.09203591415659024,Average price
120,27644,Manhattan,Emma,119510,340,-0.08000654589538268,Average price
