,Sale Price,Building Class At Time Of Sale,City,Neighbourhood,z_value_prices
9002,715000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10971567889026644
9005,600000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11510490990649407
9006,725000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10924705010624665
9007,496860.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11993834718487421
9008,680600.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11132776190729454
9009,462000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.12157198712596722
9010,1261000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.08412854728278574
9012,990000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09682838732972213
9015,1268000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.08380050713397189
9016,1108000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09129856767828858
9017,665000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11205882281036542
9018,1015297.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09564289709478727
9019,1044840.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09425842707815758
9021,640000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1132303947704149
9022,641000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11318353189201291
9023,742500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10842694973421202
9024,685000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11112156524232583
9025,2300000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.03543801662312922
9029,930000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.0996401600338409
9031,1800000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.05886945582411888
9032,1950000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.05184002406382198
9033,1700000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.06355574366431681
9035,943500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09900751117541418
9039,1143500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.0896349354950183
9040,2250000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.037781160543228186
9042,2600000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.02137915310253542
9044,3900000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.0395425888200377
9045,2900000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.007320289581941623
9046,1762500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.060626813764193106
9048,4000000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.04422887666023563
9049,3625000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.026655297259493387
9050,2138325.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.04301457248876923
9052,1125000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09050189874545492
9053,900000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10104604638590027
9055,935000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.099405845641831
9057,928000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09973388579064485
9058,2550000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.023722297022634387
9059,1630000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.06683614515245537
9060,982500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09717985891773698
9061,10.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.14322216831889764
9062,10.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.14322216831889764
9064,995000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09659407293771223
9065,910000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10057741760188048
9067,1750000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.06121259974421785
9068,1000000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09635975854570233
9070,1595000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.06847634589652464
9072,2110000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.04434196351950529
9074,2000000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.04949688014372301
9076,1165000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.08862738360937575
9079,725000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10924705010624665
9080,710000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10994999328227634
9082,1500000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.07292831934471268
9083,899000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10109290926430226
9084,895000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10128036077791017
9087,1437540.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.0758553747297003
9090,15700000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.5925245539633938
9091,15700000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.5925245539633938
9092,6050000.0,R4,manhattan,Upper West Side,0.14029777738429325
9093,6300000.0,R4,manhattan,Upper West Side,0.15201349698478808
9094,6000000.0,R4,manhattan,Upper West Side,0.1379546334641943
9095,20400000.0,R4,manhattan,Upper West Side,0.8127800824526965
9096,20400000.0,R4,manhattan,Upper West Side,0.8127800824526965
9097,6300000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.15201349698478808
9098,111540.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1379955514907249
9099,86190.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.13918352545821508
9100,111540.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1379955514907249
9102,1415000.0,R4,manhattan,Times Square / Theater District,-0.07691166400888091
9103,2000000.0,R4,manhattan,Times Square / Theater District,-0.04949688014372301
9104,2325000.0,R4,manhattan,Times Square / Theater District,-0.03426644466307974
9105,990000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09682838732972213
9107,2600000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.02137915310253542
9109,3250000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.009081717858751141
9110,1150000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.08933032678540544
9112,1440000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.07574009204883143
9275,1850000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.05652631190401992
9276,1429937.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.07621167319419056
9277,870000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10245193273795965
9278,521000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11880707730025043
9280,625000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11393333794644459
9281,625650.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1139028770754833
9282,840000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.10385781909001904
9284,695000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11065293645830604
9285,1637500.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.06648467356444052
9287,635000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11346470916242479
9289,4000000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.04422887666023563
9290,1050000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09401661462560337
9293,660000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.11229313720237531
9294,800001.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1057322873632198
9297,1095000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.09190778509751431
9298,1670000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.0649616300163762
9300,848000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.1034829160628032
9303,19600000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.7752897797311131
9304,19600000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.7752897797311131
9306,6387550.0,R4,manhattan,Hell's Kitchen / Midtown West,0.15611634198888136
9307,6387550.0,R4,manhattan,Hell's Kitchen / Midtown West,0.15611634198888136
9308,3900000.0,R4,manhattan,Hell's Kitchen / Midtown West,0.0395425888200377
9311,1300000.0,R4,manhattan,Hell's Kitchen / Midtown West,-0.08230089502510854
9312,31250000.0,R4,manhattan,Hell's Kitchen / Midtown West,1.3212423131141722
9314,29000000.0,R4,manhattan,Hell's Kitchen / Midtown West,1.2158008367097188
9315,17000000.0,S5,manhattan,Times Square / Theater District,0.6534462958859668
9317,3990000.0,R1,manhattan,Times Square / Theater District,0.04376024787621584
9318,1940000.0,R1,manhattan,Times Square / Theater District,-0.05230865284784177
9319,3156575.0,R1,manhattan,Times Square / Theater District,0.004703553444046222
9320,1100000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.09167347070550441
9321,1660000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.06543025880039599
9322,442000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.1225092446940068
9324,1145000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.08956464117741533
9325,840000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.10385781909001904
9326,650500.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.11273833454719412
9327,880000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.10198330395393986
9329,998500.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.0964300528633053
9330,925000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.09987447442585079
9331,870000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.10245193273795965
9332,1075000.0,R9,manhattan,Hell's Kitchen / Midtown West,-0.09284504266555389
9333,10100000.0,O6,manhattan,Garment District / Midtown,0.3300924349123095
9338,5750000.0,O2,manhattan,Times Square / Theater District,0.12623891386369945
9339,37250000.0,O6,manhattan,Times Square / Theater District,1.602419583526048
9346,20000000.0,O5,manhattan,Hell's Kitchen / Midtown West,0.7940349310919048
9348,3828000.0,K4,manhattan,Times Square / Theater District,0.03616846157509519
9351,17000000.0,K4,manhattan,Times Square / Theater District,0.6534462958859668
9352,17000000.0,K4,manhattan,Times Square / Theater District,0.6534462958859668
9353,17000000.0,K4,manhattan,Times Square / Theater District,0.6534462958859668
9355,4000000.0,K2,manhattan,Times Square / Theater District,0.04422887666023563
9361,12380000.0,H2,manhattan,Hell's Kitchen / Midtown West,0.43693979766882235
9362,15534153.0,H2,manhattan,Hell's Kitchen / Midtown West,0.5847524861690606
9363,13665847.0,H2,manhattan,Hell's Kitchen / Midtown West,0.4971982892733723
9364,24000000.0,H3,manhattan,Times Square / Theater District,0.9814864446998222
9365,34641300.0,HB,manhattan,Times Square / Theater District,1.4801683926388047
9367,100.0,H3,manhattan,Hell's Kitchen / Midtown West,-0.14321795065984147
9368,20000.0,H3,manhattan,Hell's Kitchen / Midtown West,-0.14228537937964209
9370,217800.0,H3,manhattan,Hell's Kitchen / Midtown West,-0.13301590203173055
9371,2285000.0,G6,manhattan,Times Square / Theater District,-0.036140959799158906
9373,24275000.0,V1,manhattan,,0.9943737362603664
9379,3828000.0,V1,manhattan,Times Square / Theater District,0.03616846157509519
9389,1820597.0,RB,manhattan,Times Square / Theater District,-0.057904221117673314
9390,1927800.0,RB,manhattan,Times Square / Theater District,-0.05288037996434592
9394,3900000.0,RB,manhattan,Times Square / Theater District,0.0395425888200377
9399,780000.0,RB,manhattan,Times Square / Theater District,-0.10666959179413779
9402,1315000.0,RB,manhattan,Times Square / Theater District,-0.08159795184907885
9403,1030.0,RB,manhattan,Times Square / Theater District,-0.1431743681829276
9404,9200000.0,RB,manhattan,Times Square / Theater District,0.28791584435052814
9405,1500000.0,RB,manhattan,Times Square / Theater District,-0.07292831934471268
9406,6908163.0,RB,manhattan,Times Square / Theater District,0.18051376570237104
9407,2100000.0,RB,manhattan,Times Square / Theater District,-0.04481059230352508
9408,2720550.0,RB,manhattan,Times Square / Theater District,-0.015729833111176813
9410,10.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14322216831889764
9414,100.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14321795065984147
9415,39950.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.1413504649555226
9419,37952.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14144409698656973
9420,52500.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14076233583157774
9421,138332.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.13674000125257907
9422,7500.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14287116535966682
9424,15000.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.14251969377165197
9430,2800000.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.012006577422139555
9431,1104500.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.0914625877526955
9432,1400000.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.07761460718491062
9433,1900000.0,RH,manhattan,Hell's Kitchen / Midtown West,-0.05418316798392095
9435,6300000.0,RS,manhattan,Hell's Kitchen / Midtown West,0.15201349698478808
9436,925000.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.09987447442585079
9438,13751.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.14257822550677604
9439,1136000.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.08998640708303315
9440,17795.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.14238871202651845
9441,32676.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.1416913455330186
9443,2250000.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.037781160543228186
9446,210000.0,RS,manhattan,Hell's Kitchen / Midtown West,-0.133381432483266
9448,690000.0,D9,manhattan,Harlem,-0.11088725085031594
9450,150000.0,C6,manhattan,Harlem,-0.13619320518738476
9451,550000.0,C6,manhattan,Harlem,-0.11744805382659304
9452,365000.0,C6,manhattan,Harlem,-0.1261176863309592
9453,640000.0,C6,manhattan,Harlem,-0.1132303947704149
9454,540000.0,C6,manhattan,Harlem,-0.11791668261061283
9455,490000.0,C6,manhattan,Harlem,-0.1202598265307118
9456,450000.0,C6,manhattan,Harlem,-0.12213434166679096
9457,635000.0,D4,manhattan,Harlem,-0.11346470916242479
9458,435000.0,D4,manhattan,Harlem,-0.12283728484282065
9459,725000.0,D4,manhattan,Harlem,-0.10924705010624665
9460,325000.0,D4,manhattan,Harlem,-0.12799220146703838
9461,635000.0,D4,manhattan,Harlem,-0.11346470916242479
9462,720000.0,D4,manhattan,Harlem,-0.10948136449825654
9463,600000.0,D4,manhattan,Harlem,-0.11510490990649407
9464,500000.0,D4,manhattan,Harlem,-0.119791197746692
9465,1100000.0,D4,manhattan,Harlem,-0.09167347070550441
9466,579000.0,D4,manhattan,Harlem,-0.11608903035293563
9467,1015000.0,D4,manhattan,Harlem,-0.09565681536967265
9468,760000.0,D4,manhattan,Harlem,-0.10760684936217738
9469,1225000.0,D4,manhattan,Harlem,-0.085815610905257
9470,1155000.0,D4,manhattan,Harlem,-0.08909601239339554
9471,690000.0,D4,manhattan,Harlem,-0.11088725085031594
9473,800000.0,D4,manhattan,Harlem,-0.1057323342260982
9474,545000.0,D4,manhattan,Harlem,-0.11768236821860294
9475,785000.0,D4,manhattan,Harlem,-0.1064352774021279
9476,425000.0,D4,manhattan,Harlem,-0.12330591362684046
9477,620000.0,D4,manhattan,Harlem,-0.11416765233845448
9480,425000.0,D4,manhattan,Harlem,-0.12330591362684046
9481,720000.0,D4,manhattan,Harlem,-0.10948136449825654
9484,541250.0,D4,manhattan,Harlem,-0.11785810401261035
9485,332500.0,D4,manhattan,Harlem,-0.12764072987902353
9486,772500.0,D4,manhattan,Harlem,-0.10702106338215264
9487,865000.0,D4,manhattan,Harlem,-0.10268624712996954
9488,820000.0,D4,manhattan,Harlem,-0.10479507665805862
9489,687000.0,D4,manhattan,Harlem,-0.11102783948552186
9490,980000.0,D4,manhattan,Harlem,-0.09729701611374193
9491,786000.0,D4,manhattan,Harlem,-0.10638841452372591
9492,740000.0,D4,manhattan,Harlem,-0.10854410693021696
9493,675000.0,D4,manhattan,Harlem,-0.11159019402634562
9494,590000.0,D4,manhattan,Harlem,-0.11557353869051386
9495,510000.0,D4,manhattan,Harlem,-0.11932256896267221
9496,395000.0,D4,manhattan,Harlem,-0.12471179997889983
9499,1100000.0,D4,manhattan,Harlem,-0.09167347070550441
9500,1300000.0,D4,manhattan,Harlem,-0.08230089502510854
9501,2225000.0,D4,manhattan,Harlem,-0.038952732503277666
9502,1750000.0,D4,manhattan,Harlem,-0.06121259974421785
9503,525000.0,D4,manhattan,Harlem,-0.11861962578664252
9505,745000.0,D4,manhattan,Harlem,-0.10830979253820706
9506,725000.0,D4,manhattan,Harlem,-0.10924705010624665
9507,690000.0,D4,manhattan,Harlem,-0.11088725085031594
9508,349000.0,D4,manhattan,Harlem,-0.12686749238539088
9509,855000.0,D4,manhattan,Harlem,-0.10315487591398934
9510,709000.0,D4,manhattan,Harlem,-0.10999685616067832
9511,500000.0,D4,manhattan,Harlem,-0.119791197746692
9512,717500.0,D4,manhattan,Harlem,-0.1095985216942615
9513,450000.0,D4,manhattan,Harlem,-0.12213434166679096
9514,400000.0,D4,manhattan,Harlem,-0.12447748558688994
9515,850239.0,D4,manhattan,Harlem,-0.10337799007806117
9516,760000.0,D4,manhattan,Harlem,-0.10760684936217738
9517,760000.0,D4,manhattan,Harlem,-0.10760684936217738
9518,550000.0,D4,manhattan,Harlem,-0.11744805382659304
9520,435000.0,D4,manhattan,Harlem,-0.12283728484282065
9521,457000.0,D4,manhattan,Harlem,-0.12180630151797711
9522,392000.0,D4,manhattan,Harlem,-0.12485238861410577
9523,729000.0,R9,manhattan,Harlem,-0.10905959859263874
9524,545000.0,R9,manhattan,Harlem,-0.11768236821860294
9525,4400000.0,A4,manhattan,Murray Hill / Kips Bay,0.06297402802102736
9526,3468750.0,A4,manhattan,Murray Hill / Kips Bay,0.01933297250918412
9528,4080000.0,B1,manhattan,Murray Hill / Kips Bay,0.04797790693239398
9529,4687500.0,B9,manhattan,Murray Hill / Kips Bay,0.07644710556159642
9530,5050000.0,C5,manhattan,Murray Hill / Kips Bay,0.09343489898231393
9532,10.0,C5,manhattan,Murray Hill / Kips Bay,-0.14322216831889764
9533,4000000.0,C3,manhattan,Murray Hill / Kips Bay,0.04422887666023563
9534,5180000.0,C5,manhattan,Murray Hill / Kips Bay,0.09952707317457124
9535,8000000.0,C7,manhattan,Murray Hill / Kips Bay,0.23168039026815293
9538,38000000.0,D7,manhattan,Murray Hill / Kips Bay,1.6375667423275324
9541,11500000.0,D5,manhattan,Murray Hill / Kips Bay,0.3957004646750806
9543,760000.0,C6,manhattan,Murray Hill / Kips Bay,-0.10760684936217738
9544,770000.0,C6,manhattan,Murray Hill / Kips Bay,-0.10713822057815758
9545,680000.0,C6,manhattan,Murray Hill / Kips Bay,-0.11135587963433573
9546,362000.0,C6,manhattan,Murray Hill / Kips Bay,-0.12625827496616515
9547,2200000.0,C6,manhattan,Murray Hill / Kips Bay,-0.04012430446332715
9548,650000.0,C6,manhattan,Murray Hill / Kips Bay,-0.1127617659863951
9549,599000.0,C6,manhattan,Murray Hill / Kips Bay,-0.11515177278489605
9550,925000.0,D0,manhattan,Murray Hill / Kips Bay,-0.09987447442585079
9551,1085000.0,D0,manhattan,Murray Hill / Kips Bay,-0.0923764138815341
9552,1800000.0,D0,manhattan,Murray Hill / Kips Bay,-0.05886945582411888
9553,515000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11908825457066231
9554,2699888.0,D4,manhattan,Murray Hill / Kips Bay,-0.01669811390471851
9555,230000.0,D4,manhattan,Murray Hill / Kips Bay,-0.13244417491522642
9556,625000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11393333794644459
9557,470000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12119708409875138
9558,460000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12166571288277117
9559,820000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10479507665805862
9560,705000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11018430767428625
9561,700000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11041862206629614
9562,499900.0,D4,manhattan,Murray Hill / Kips Bay,-0.1197958840345322
9563,775000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10690390618614769
9564,567500.0,D4,manhattan,Murray Hill / Kips Bay,-0.1166279534545584
9565,700000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11041862206629614
9566,550000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11744805382659304
9567,655000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11252745159438521
9569,675000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11159019402634562
9570,420000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12354022801885035
9571,220000.0,D4,manhattan,Murray Hill / Kips Bay,-0.1329128036992462
9572,462500.0,D4,manhattan,Murray Hill / Kips Bay,-0.12154855568676623
9573,1462500.0,D4,manhattan,Murray Hill / Kips Bay,-0.07468567728478691
9574,1125000.0,D4,manhattan,Murray Hill / Kips Bay,-0.09050189874545492
9575,375000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12564905754693942
9576,1290000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08276952380912833
9577,680000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11135587963433573
9578,1470150.0,D4,manhattan,Murray Hill / Kips Bay,-0.07432717626501176
9579,880000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10198330395393986
9580,736300.0,D4,manhattan,Murray Hill / Kips Bay,-0.10871749958030429
9581,675000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11159019402634562
9582,470000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12119708409875138
9583,580000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11604216747453365
9584,557500.0,D4,manhattan,Murray Hill / Kips Bay,-0.11709658223857819
9585,705000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11018430767428625
9586,702000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11032489630949217
9587,565000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11674511065056335
9589,500000.0,D4,manhattan,Murray Hill / Kips Bay,-0.119791197746692
9590,600000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11510490990649407
9592,540000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11791668261061283
9593,735000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10877842132222686
9594,745000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10830979253820706
9595,768000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10723194633496154
9596,717000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10962195313346249
9597,1450000.0,D4,manhattan,Murray Hill / Kips Bay,-0.07527146326481164
9598,445000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12236865605880086
9600,625000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11393333794644459
9601,750000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10807547814619717
9602,2800000.0,D4,manhattan,Murray Hill / Kips Bay,-0.012006577422139555
9603,2025000.0,D4,manhattan,Murray Hill / Kips Bay,-0.04832530818367353
9604,375000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12564905754693942
9605,515000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11908825457066231
9606,760000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10760684936217738
9607,785000.0,D4,manhattan,Murray Hill / Kips Bay,-0.1064352774021279
9608,760000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10760684936217738
9609,780000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10666959179413779
9610,1150000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08933032678540544
9611,457000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12180630151797711
9613,428000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12316532499163452
9614,447000.0,D4,manhattan,Murray Hill / Kips Bay,-0.1222749303019969
9615,430000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12307159923483055
9616,445000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12236865605880086
9617,500000.0,D4,manhattan,Murray Hill / Kips Bay,-0.119791197746692
9618,599000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11515177278489605
9619,1225000.0,D4,manhattan,Murray Hill / Kips Bay,-0.085815610905257
9620,465000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12143139849076127
9621,731000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10896587283583478
9622,1450000.0,D4,manhattan,Murray Hill / Kips Bay,-0.07527146326481164
9623,628000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11379274931123864
9624,430000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12307159923483055
9625,525000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11861962578664252
9626,587500.0,D4,manhattan,Murray Hill / Kips Bay,-0.11569069588651881
9627,525000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11861962578664252
9628,385000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12518042876291963
9629,377000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12555533179013545
9630,390000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12494611437090973
9631,775000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10690390618614769
9632,742000.0,D4,manhattan,Murray Hill / Kips Bay,-0.108450381173413
9634,895000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10128036077791017
9635,999000.0,D4,manhattan,Murray Hill / Kips Bay,-0.09640662142410432
9636,399000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12452434846529191
9637,400000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12447748558688994
9638,490000.0,D4,manhattan,Murray Hill / Kips Bay,-0.1202598265307118
9639,450000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12213434166679096
9640,365000.0,D4,manhattan,Murray Hill / Kips Bay,-0.1261176863309592
9641,660000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11229313720237531
9642,515000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11908825457066231
9643,1150000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08933032678540544
9644,661000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11224627432397333
9645,385000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12518042876291963
9646,450000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12213434166679096
9647,500000.0,D4,manhattan,Murray Hill / Kips Bay,-0.119791197746692
9648,450000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12213434166679096
9649,1325000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08112932306505906
9650,1250000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08464403894520751
9653,1040000.0,D4,manhattan,Murray Hill / Kips Bay,-0.09448524340962317
9655,1140000.0,D4,manhattan,Murray Hill / Kips Bay,-0.08979895556942523
9656,997500.0,D4,manhattan,Murray Hill / Kips Bay,-0.09647691574170729
9657,1550000.0,D4,manhattan,Murray Hill / Kips Bay,-0.0705851754246137
9658,525000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11861962578664252
9659,620000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11416765233845448
9660,605000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11487059551448417
9661,397000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12461807422209588
9662,615000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11440196673046438
9663,400000.0,D4,manhattan,Murray Hill / Kips Bay,-0.12447748558688994
9664,650950.0,D4,manhattan,Murray Hill / Kips Bay,-0.11271724625191322
9668,699000.0,D4,manhattan,Murray Hill / Kips Bay,-0.11046548494469811
9669,725000.0,D4,manhattan,Murray Hill / Kips Bay,-0.10924705010624665
9670,965000.0,D4,manhattan,Murray Hill / Kips Bay,-0.09799995928977162
9671,950000.0,D4,manhattan,Murray Hill / Kips Bay,-0.09870290246580131
