borough,neighbourhood,total_listings_neighbourhood,total_listings_borough,neighbourhood_share
brooklyn,"brooklyn heights",154,20088,0.7666
brooklyn,canarsie,147,20088,0.7318
queens,"south ozone park",40,5662,0.7065
brooklyn,"bay ridge",141,20088,0.7019
queens,bayside,39,5662,0.6888
brooklyn,"borough park",136,20088,0.6770
brooklyn,"cypress hills",135,20088,0.6720
bronx,unionport,7,1089,0.6428
bronx,baychester,7,1089,0.6428
queens,"kew gardens",32,5662,0.5652
queens,"fresh meadows",32,5662,0.5652
manhattan,"little italy",121,21652,0.5588
bronx,"mount eden",6,1089,0.5510
queens,"middle village",31,5662,0.5475
brooklyn,midwood,109,20088,0.5426
"staten island","lighthouse hill",2,373,0.5362
"staten island","silver lake",2,373,0.5362
"staten island",westerleigh,2,373,0.5362
"staten island","bay terrace, staten island",2,373,0.5362
"staten island","howland hook",2,373,0.5362
queens,"far rockaway",29,5662,0.5122
brooklyn,"cobble hill",99,20088,0.4928
queens,"kew gardens hills",26,5662,0.4592
queens,"cambria heights",26,5662,0.4592
brooklyn,flatlands,83,20088,0.4132
brooklyn,"downtown brooklyn",83,20088,0.4132
brooklyn,"red hook",79,20088,0.3933
brooklyn,bensonhurst,75,20088,0.3734
brooklyn,"brighton beach",75,20088,0.3734
manhattan,"flatiron district",80,21652,0.3695
bronx,olinville,4,1089,0.3673
bronx,"spuyten duyvil",4,1089,0.3673
manhattan,noho,78,21652,0.3602
manhattan,"roosevelt island",77,21652,0.3556
queens,"howard beach",20,5662,0.3532
brooklyn,gravesend,68,20088,0.3385
queens,"jamaica estates",19,5662,0.3356
queens,"college point",19,5662,0.3356
manhattan,"two bridges",72,21652,0.3325
manhattan,"battery park city",70,21652,0.3233
queens,laurelton,18,5662,0.3179
brooklyn,brownsville,61,20088,0.3037
queens,bayswater,17,5662,0.3002
brooklyn,"fort hamilton",55,20088,0.2738
"staten island",woodrow,1,373,0.2681
"staten island","fort wadsworth",1,373,0.2681
"staten island","new dorp",1,373,0.2681
"staten island",rossville,1,373,0.2681
"staten island",willowbrook,1,373,0.2681
"staten island",richmondtown,1,373,0.2681
queens,hollis,14,5662,0.2473
queens,bellerose,14,5662,0.2473
manhattan,"civic center",52,21652,0.2402
brooklyn,"columbia st",42,20088,0.2091
queens,edgemere,11,5662,0.1943
queens,whitestone,11,5662,0.1943
bronx,"west farms",2,1089,0.1837
bronx,"co-op city",2,1089,0.1837
brooklyn,dumbo,36,20088,0.1792
manhattan,"stuyvesant town",37,21652,0.1709
brooklyn,"vinegar hill",34,20088,0.1693
queens,"jamaica hills",8,5662,0.1413
queens,"belle harbor",8,5662,0.1413
queens,douglaston,8,5662,0.1413
queens,"bay terrace",6,5662,0.1060
queens,"little neck",5,5662,0.0883
brooklyn,"coney island",17,20088,0.0846
brooklyn,"bath beach",17,20088,0.0846
queens,holliswood,4,5662,0.0706
brooklyn,"navy yard",14,20088,0.0697
brooklyn,"dyker heights",12,20088,0.0597
manhattan,"marble hill",12,21652,0.0554
queens,"breezy point",3,5662,0.0530
queens,neponsit,3,5662,0.0530
brooklyn,"bergen beach",10,20088,0.0498
brooklyn,"manhattan beach",8,20088,0.0398
brooklyn,"sea gate",7,20088,0.0348
brooklyn,"mill basin",4,20088,0.0199
