neighbourhood,borough,avg_daily_price,avg_occupied_nights,avg_annual_revenue,total_listings,market_share_percent
midwood,brooklyn,87.04615384615384,223.4308,19647.53846153846,65,0.55
"morris park",bronx,72.81818181818181,259.5455,19562.454545454544,11,1.28
"ditmars steinway",queens,96.45320197044335,198.3695,19386.093596059112,203,4.96
flatbush,brooklyn,92.70308123249299,210.8683,19352.268907563026,357,3.03
"east flatbush",brooklyn,109.41025641025641,173.2641,19343.266666666666,390,3.31
"new brighton","staten island",101.8,222.4000,19072.2,5,1.57
"south beach","staten island",99.14285714285714,156.0000,18921.571428571428,7,2.19
flatlands,brooklyn,104.47619047619048,168.8730,18800.88888888889,63,0.53
"washington heights",manhattan,94.90243902439025,208.4053,18445.373358348967,533,4.11
"university heights",bronx,76.08333333333333,219.5000,18440.416666666668,12,1.40
glendale,queens,91.075,184.4250,18411.95,40,0.98
bushwick,brooklyn,91.20258620689656,210.5560,18407.6566091954,1392,11.80
brownsville,brooklyn,82.02173913043478,219.9783,18388.91304347826,46,0.39
inwood,manhattan,89.42567567567568,216.9324,17871.18918918919,148,1.14
"rego park",queens,89.32098765432099,208.2346,17790.493827160495,81,1.98
"new springville","staten island",66.66666666666667,278.0000,17772.666666666668,6,1.88
gravesend,brooklyn,88.27272727272727,180.3864,17600.795454545456,44,0.37
"arden heights","staten island",76,239.3333,17564,3,0.94
laurelton,queens,100.875,157.3125,17444.875,16,0.39
"port morris",bronx,75.27777777777777,221.2500,17418.583333333332,36,4.20
"lighthouse hill","staten island",157.5,149.5000,17405,2,0.63
"east morrisania",bronx,94.44444444444444,164.1111,17326.666666666668,9,1.05
"coney island",brooklyn,137.71428571428572,166.7857,17322.14285714286,14,0.12
"fort hamilton",brooklyn,92.44736842105263,184.8684,17241.28947368421,38,0.32
whitestone,queens,127.875,212.5000,17068.875,8,0.20
"emerson hill","staten island",64,264.0000,16911,4,1.25
"springfield gardens",queens,94.28985507246377,166.5797,16855.840579710144,69,1.69
"fresh meadows",queens,99,217.6000,16847.88,25,0.61
ridgewood,queens,79.6015625,205.8711,16826.33203125,256,6.26
"mott haven",bronx,91.11538461538461,195.4615,16692.44230769231,52,6.06
morrisania,bronx,71,222.5833,16577.833333333332,12,1.40
stapleton,"staten island",103.20833333333333,137.6250,16335.125,24,7.52
briarwood,queens,95.8409090909091,171.7273,16266.886363636364,44,1.08
"pelham bay",bronx,109.25,150.7500,16228.375,16,1.86
"cambria heights",queens,76.94117647058823,209.0000,16183.176470588236,17,0.42
elmhurst,queens,82.08092485549133,201.7630,16169.242774566474,173,4.23
"marble hill",manhattan,110.66666666666667,135.6667,15824.166666666666,6,0.05
woodside,queens,86.46745562130178,196.8876,15752.30177514793,169,4.13
jamaica,queens,94.85263157894737,175.3895,15750.642105263158,190,4.64
"east new york",brooklyn,86.00990099009901,179.9505,15717.173267326732,202,1.71
"queens village",queens,86.14,172.5800,15691.52,50,1.22
flushing,queens,88.44540229885058,183.5115,15663.801724137931,348,8.51
westerleigh,"staten island",71.5,252.5000,15644,2,0.63
"ozone park",queens,89,177.9804,15618.078431372549,51,1.25
"bay terrace",queens,142,142.5000,15606.833333333334,6,0.15
baychester,bronx,78,180.8333,15594.5,6,0.70
"st. george","staten island",124.84210526315789,161.2105,15585.5,38,11.91
"van nest",bronx,95.2,229.5000,15524.4,10,1.17
"dyker heights",brooklyn,97.7,191.3000,15410.1,10,0.08
"jackson heights",queens,81.82758620689656,184.8138,15389.993103448276,145,3.54
rosebank,"staten island",108,160.6667,15387.833333333334,6,1.88
"sheepshead bay",brooklyn,96.63565891472868,169.3953,15296.790697674418,129,1.09
sunnyside,queens,81.14830508474576,185.5636,15248.097457627118,236,5.77
douglaston,queens,82.75,159.3750,15011,8,0.20
longwood,bronx,83.02439024390245,158.4878,14937.317073170732,41,4.78
allerton,bronx,91.70270270270271,179.2162,14893.351351351352,37,4.31
tottenville,"staten island",152.33333333333334,113.6667,14890,6,1.88
"cypress hills",brooklyn,93.3963963963964,179.8018,14855.873873873874,111,0.94
highbridge,bronx,72.43478260869566,186.6957,14853.04347826087,23,2.68
"south ozone park",queens,101.32142857142857,172.3571,14659.035714285714,28,0.68
bayside,queens,165.54285714285714,163.8000,14535.771428571428,35,0.86
bensonhurst,brooklyn,80.64814814814815,184.4815,14494.351851851852,54,0.46
unionport,bronx,147.5,141.1667,14208.333333333334,6,0.70
kingsbridge,bronx,81.51923076923077,194.5000,14123.153846153846,52,6.06
"howland hook","staten island",100,139.5000,13950,2,0.63
woodlawn,bronx,60.111111111111114,244.8889,13853.444444444445,9,1.05
schuylerville,bronx,67.91666666666667,209.8333,13816.166666666666,12,1.40
fordham,bronx,71.22222222222223,211.0370,13802.685185185184,54,6.29
"pelham gardens",bronx,87.92307692307692,207.3846,13798.384615384615,26,3.03
